0 0.005
1 1.60762
2 2.8934
3 4.13634
4 5.33643
5 6.4936
6 7.60798
7 8.67953
8 9.70828
9 10.694
10 11.6367
11 12.5371
12 13.3937
13 14.208
14 14.9792
15 15.7076
16 16.3929
17 17.0359
18 17.6359
19 18.194
20 18.7079
21 19.1795
22 19.6076
23 19.9939
24 20.3335
25 20.6341
26 20.8902
27 21.1052
28 21.2757
29 21.4045
30 21.4921
31 21.536
32 21.5367
33 21.4933
34 21.4059
35 21.2763
36 21.1067
37 20.891
38 20.6366
39 20.3374
40 19.9923
41 19.6079
42 19.18
43 18.7087
44 18.195
45 17.6369
46 17.0372
47 16.3937
48 15.7076
49 14.9791
50 14.2076
51 13.3932
52 12.5359
53 11.6356
54 10.6927
55 9.7071
56 8.67859
57 7.60704
58 6.49283
59 5.33572
60 4.13577
61 2.893
62 1.60739
63 0.005
