4.8	18.5535
9.6	9.27677
14.4	6.18452
19.2	4.63839
24	3.71071
28.8	3.09226
33.6	2.65051
38.4	2.31919
43.2	2.06151
48	1.85535
52.8	1.68669
57.6	1.54613
62.4	1.4272
67.2	1.32525
72	1.2369
76.8	1.1596
81.6	1.09139
86.4	1.03075
91.2	0.976503
96	0.927677
100.8	0.883502
105.6	0.843343
110.4	0.806676
115.2	0.773064
120	0.742142
124.8	0.713598
129.6	0.687168
134.4	0.662627
139.2	0.639778
144	0.618452
148.8	0.598502
153.6	0.579798
158.4	0.562229
163.2	0.545693
168	0.530101
172.8	0.515376
177.6	0.501447
182.4	0.488251
187.2	0.475732
192	0.463839
